iter	Passed	Remaining
740	59808	182332
741	59907	182306
742	59998	182255
743	60084	182190
744	60193	182197
745	60284	182145
746	60370	182082
747	60434	181950
748	60533	181924
749	60627	181881
750	60697	181767
751	60776	181682
752	60858	181606
753	60944	181539
754	61010	181413
755	61098	181356
756	61168	181241
757	61264	181207
758	61353	181150
759	61422	181033
760	61512	180979
761	61604	180932
762	61692	180872
763	61769	180781
764	61840	180670
765	61955	180690
766	62041	180624
767	62134	180578
768	62209	180478
769	62292	180405
770	62378	180339
771	62465	180274
772	62542	180184
773	62634	180134
774	62731	180099
775	62832	180075
776	62922	180021
777	63025	180004
778	63103	179914
779	63185	179836
780	63277	179784
781	63357	179701
782	63439	179624
783	63537	179590
784	63614	179497
785	63710	179459
786	63803	179411
787	63900	179374
788	63997	179338
789	64101	179321
790	64171	179210
791	64255	179137
792	64363	179129
793	64428	179004
794	64515	178939
795	64602	178873
796	64675	178770
797	64757	178692
798	64854	178653
799	64944	178596
800	65024	178512
801	65138	178521
802	65220	178441
803	65289	178328
804	65381	178277
805	65483	178250
806	65558	178153
807	65647	178093
808	65733	178025
809	65825	177972
810	65915	177914
811	65996	177834
812	66088	177780
813	66194	177765
814	66282	177701
815	66346	177574
816	66428	177495
817	66523	177451
818	66586	177320
819	66676	177262
820	66766	177202
821	66846	177119
822	66944	177082
823	67039	177036
824	67131	176982
825	67216	176911
826	67301	176840
827	67379	176750
828	67448	176634
829	67523	176537
830	67614	176481
831	67696	176401
832	67798	176374
833	67884	176305
834	67963	176216
835	68045	176136
836	68133	176073
837	68213	175988
838	68309	175943
839	68393	175869
840	68486	175817
841	68568	175737
842	68663	175691
843	68762	175653
844	68860	175615
845	68951	175557
846	69030	175470
847	69104	175369
848	69199	175321
849	69265	175201
850	69359	175150
851	69419	175014
852	69497	174925
853	69570	174821
854	69644	174722
855	69714	174611
856	69816	174582
857	69907	174524
858	70007	174488
859	70105	174448
860	70203	174408
861	70268	174286
862	70355	174217
863	70441	174147
864	70526	174075
865	70611	174001
866	70697	173929
867	70795	173890
868	70857	173759
869	70942	173686
870	71044	173656
871	71118	173556
872	71195	173463
873	71283	173397
874	71359	173302
875	71424	173180
876	71509	173107
877	71610	173071
878	71699	173009
879	71797	172967
880	71877	172881
881	71950	172779
882	72050	172742
883	72122	172636
884	72228	172613
885	72299	172507
886	72402	172476
887	72497	172427
888	72588	172366
889	72672	172290
890	72768	172243
891	72856	172177
892	72949	172121
893	73047	172078
894	73151	172048
895	73249	172004
896	73321	171900
897	73388	171783
898	73481	171728
899	73579	171685
900	73669	171622
901	73744	171525
902	73845	171489
903	73913	171374
904	74003	171311
905	74099	171263
906	74174	171164
907	74260	171094
908	74344	171016
909	74408	170893
910	74496	170826
911	74580	170751
912	74652	170645
913	74718	170528
914	74802	170450
915	74867	170331
916	74942	170234
917	75031	170169
918	75113	170088
919	75202	170023
920	75268	169905
921	75354	169833
922	75454	169792
923	75573	169795
924	75684	169777
925	75781	169731
926	75865	169653
927	75960	169600
928	76055	169548
929	76112	169412
930	76195	169331
931	76281	169259
932	76361	169174
933	76439	169084
934	76524	169009
935	76637	168996
936	76718	168911
937	76794	168815
938	76878	168740
939	76948	168631
940	77020	168529
941	77098	168438
942	77167	168329
943	77258	168267
944	77347	168200
945	77421	168100
946	77486	167982
947	77588	167944
948	77679	167882
949	77749	167774
950	77812	167653
951	77895	167573
952	77973	167482
953	78095	167488
954	78170	167390
955	78276	167360
956	78350	167263
957	78435	167188
958	78524	167120
959	78603	167031
960	78688	166957
961	78756	166846
962	78854	166797
963	78936	166716
964	79019	166637
965	79083	166518
966	79144	166392
967	79217	166290
968	79302	166215
969	79373	166111
970	79446	166011
971	79546	165966
972	79625	165879
973	79712	165807
974	79804	165748
975	79882	165658
976	79976	165601
977	80069	165541
978	80151	165459
979	80232	165377
980	80311	165289
981	80391	165204
982	80458	165092
983	80560	165051
984	80635	164954
985	80705	164847
986	80783	164759
987	80863	164673
988	80967	164637
989	81056	164570
990	81143	164498
991	81219	164403
992	81309	164338
993	81416	164308
994	81518	164265
995	81594	164172
996	81679	164095
997	81764	164019
998	81850	163946
999	81942	163885
1000	82014	163782
1001	82090	163690
1002	82182	163626
1003	82251	163519
1004	82328	163427
1005	82409	163344
1006	82496	163273
1007	82589	163213
1008	82665	163119
1009	82746	163035
1010	82831	162959
1011	82912	162875
1012	82994	162794
1013	83074	162707
1014	83155	162624
1015	83221	162511
1016	83303	162430
1017	83371	162320
1018	83478	162287
1019	83564	162212
1020	83657	162153
1021	83726	162045
1022	83819	161985
1023	83912	161925
1024	83988	161831
1025	84064	161738
1026	84167	161696
1027	84250	161617
1028	84320	161511
1029	84412	161449
1030	84475	161331
1031	84570	161274
1032	84686	161257
1033	84782	161200
1034	84861	161113
1035	84946	161036
1036	85021	160941
1037	85107	160868
1038	85182	160773
1039	85264	160690
1040	85365	160644
1041	85481	160625
1042	85591	160597
1043	85661	160492
1044	85751	160425
1045	85821	160319
1046	85913	160256
1047	85997	160178
1048	86074	160086
1049	86178	160046
1050	86257	159958
1051	86350	159895
1052	86445	159837
1053	86539	159778
1054	86626	159704
1055	86691	159590
1056	86774	159511
1057	86870	159454
1058	86972	159409
1059	87060	159337
1060	87135	159241
1061	87215	159156
1062	87273	159029
1063	87346	158931
1064	87417	158828
1065	87503	158753
1066	87596	158691
1067	87672	158597
1068	87762	158531
1069	87840	158442
1070	87924	158361
1071	87999	158268
1072	88066	158158
1073	88136	158054
1074	88214	157965
1075	88290	157872
1076	88365	157778
1077	88455	157709
1078	88524	157604
1079	88595	157503
1080	88676	157418
1081	88752	157327
1082	88851	157275
1083	88940	157203
1084	89035	157146
1085	89122	157072
1086	89194	156971
1087	89294	156922
